row_id	locus	locus_id	parva	deviation_type	deviation_term_sa	classification	term_tokens_slp1	matched_sutra_ids	match_kind	matched_sutra_texts_slp1
NIL-011	MBh 1.76.38	P01_U07_A076_S038	adiparva	absolutive suffix	ktvā / lyap	auto	ktvA,lyap	1.2.7;1.2.18;1.2.22;2.2.22;3.4.18;7.1.37	word	mfqamfdaguDakuzakliSavadavasaH ktvA | na ktvA sew | pUNaH ktvA ca | ktvA ca | alaNKalvoH pratizeDayoH prAcAM ktvA
NIL-012	MBh 1.91.5	P01_U07_A091_S005	adiparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-013	MBh 1.93.23	P01_U07_A093_S023	adiparva	elision — reduplication syllable	abhyāsa-lopa	auto	aByAsa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-014	MBh 1.94.39	P01_U07_A094_S039	adiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-015	MBh 1.119.15	P01_U07_A119_S015	adiparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-016	MBh 1.120.3	P01_U07_A120_S003	adiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-017	MBh 1.131.51	P01_U07_A131_S051	adiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-018	MBh 1.155.12	P01_U09_A155_S012	adiparva	iṭ augment	iṭ	auto	iw	1.2.2;7.2.41	word	vija iw | iw sani vA
NIL-019	MBh 1.167.31	P01_U11_A167_S031	adiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-020	MBh 2.46.13	P02_U09_A046_S013	sabhaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-021	MBh 2.49.26	P02_U09_A049_S026	sabhaparva	gender — masculine	puṃstva	auto	puMstva			
NIL-022	MBh 2.65.34	P02_U09_A065_S034	sabhaparva	elision	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-023	MBh 2.69.10	P02_U09_A069_S010	sabhaparva	elision — taddhita suffix	taddhita-luk	auto	tadDita,luk	1.2.49;4.1.17;4.1.90;4.1.109;4.3.163;4.3.168;4.4.125;6.4.104;6.4.153;7.1.22	word	luk tadDitaluki | prAcAM zPa tadDitaH | yUni luk | luk striyAm | Pale luk
NIL-024	MBh 2.81.28	P02_U10_A081_S028	sabhaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-025	MBh 3.17.16	P03_U03_A017_S016	vanaparva	elision — visarga	visarga-lopa	auto	visarga,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-026	MBh 3.45.8	P03_U05_A045_S008	vanaparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-027	MBh 3.59.3	P03_U06_A059_S003	vanaparva	sandhi	sandhi	auto	sanDi			
NIL-028	MBh 3.64.114	P03_U06_A064_S114	vanaparva	elision — reduplication syllable	abhyāsa-lopa	auto	aByAsa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-029	MBh 3.68.14	P03_U06_A068_S014	vanaparva	feminine ṭāp ending	ṭāb-antatva	auto	wAb,antatva	4.1.9	substring	wAbfci
NIL-030	MBh 3.68.34	P03_U06_A068_S034	vanaparva	absence of the causative ṇic	ṇij-abhāva	auto	Rij	3.3.52;6.2.13	substring	pre vaRijAm | gantavyapaRyaM vARije
NIL-031	MBh 3.99.60	P03_U07_A099_S060	vanaparva	ru-substitution	rutva	auto	rutva	4.2.32	substring	dyAvApfTivISunAsIramarutvadagnIzomavAstozpatigfhameDAcCa ca
NIL-032	MBh 3.103.14	P03_U07_A103_S014	vanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-033	MBh 3.110.3	P03_U07_A110_S003	vanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-034	MBh 3.115.37	P03_U07_A115_S037	vanaparva	sandhi	sandhi	auto	sanDi			
NIL-035	MBh 3.134.6	P03_U07_A134_S006	vanaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-036	MBh 3.142.10	P03_U07_A142_S010	vanaparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-037	MBh 3.160.68	P03_U09_A160_S068	vanaparva	bha-stem treatment	bhatva	auto	Batva			
NIL-038	MBh 3.168.43	P03_U10_A168_S043	vanaparva	absence of expected lengthening	dairghya-abhāva	auto	dErGya			
NIL-039	MBh 3.175.4	P03_U10_A175_S004	vanaparva	case ending — (a)luk	aluk / luk	auto	aluk,luk	1.2.49;4.1.90;4.1.109;4.3.163;4.3.168;4.4.125;6.4.104;6.4.153;7.1.22	word	luk tadDitaluki | yUni luk | luk striyAm | Pale luk | kaMsIyaparaSavyayoryaYaYO luk ca
NIL-040	MBh 3.209.50	P03_U12_A209_S050	vanaparva	transfer — tense/mood (lakāra)	lakāra-vyatyaya	auto	lakAra,vyatyaya			
NIL-041	MBh 3.216.1	P03_U12_A216_S001	vanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-042	MBh 3.217.7	P03_U12_A217_S007	vanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-043	MBh 3.218.7	P03_U12_A218_S007	vanaparva	final-segment substitution	antādeśa	auto	antAdeSa			
NIL-044	MBh 3.222.6	P03_U12_A222_S006	vanaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-045	MBh 3.236.16	P03_U14_A236_S016	vanaparva	tense — laṭ	laṭ	auto	law	3.2.118;3.2.123	word	law sme | vartamAne law
NIL-046	MBh 3.254.8	P03_U14_A254_S008	vanaparva	elision	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-047	MBh 3.254.9	P03_U14_A254_S009	vanaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-048	MBh 3.314.5	P03_U22_A314_S005	vanaparva	stem-final vowel (a-stem)	adantatva	auto	adantatva			
NIL-049	MBh 4.7.12	P04_U01_A007_S012	virataparva	absence of ārdhadhātuka status	ārdhadhātukatva-abhāva	auto	ArDaDAtukatva			
NIL-050	MBh 4.7.12	P04_U01_A007_S012	virataparva	absence of an expected elision	lopa-abhāva	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-051	MBh 4.10.15	P04_U01_A010_S015	virataparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-052	MBh 4.24.10	P04_U03_A024_S010	virataparva	kṛtya suffix (tvan)	tvan	auto	tvan	3.4.14	substring	kftyArTe tavEkenkenyatvanaH
NIL-053	MBh 4.28.4	P04_U04_A028_S004	virataparva	absence of the num augment	num-abhāva	auto	num	7.1.58	word	idito num DAtoH
NIL-054	MBh 4.59.5	P04_U04_A059_S005	virataparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-055	MBh 4.61.11	P04_U04_A061_S011	virataparva	elision — segment/syllable	varṇa-lopa	auto	varRa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-056	MBh 4.65.3	P04_U04_A065_S003	virataparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-057	MBh 5.1.15	P05_U01_A001_S015	udyogaparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-058	MBh 5.3.3	P05_U01_A003_S003	udyogaparva	case ending — luk / ḍa-substitution	supāṃ suluk	auto	supAM,suluk	7.1.39	phrase	supAM sulukpUrvasavarRA''cCeyAqAqyAyAjAlaH
NIL-059	MBh 5.13.21	P05_U01_A013_S021	udyogaparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-060	MBh 5.13.27	P05_U01_A013_S027	udyogaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-061	MBh 5.14.16	P05_U01_A014_S016	udyogaparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-062	MBh 5.27.14	P05_U02_A027_S014	udyogaparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-063	MBh 5.43.41	P05_U04_A043_S041	udyogaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-064	MBh 5.45.5	P05_U04_A045_S005	udyogaparva	case ending — luk / ḍa-substitution	supāṃ suluk	auto	supAM,suluk	7.1.39	phrase	supAM sulukpUrvasavarRA''cCeyAqAqyAyAjAlaH
NIL-065	MBh 5.46.3	P05_U04_A046_S003	udyogaparva	preverb–verb separation	vyavahita	auto	vyavahita			
NIL-066	MBh 5.48.3	P05_U05_A048_S003	udyogaparva	preverb–verb separation	vyavahita	auto	vyavahita			
NIL-067	MBh 5.48.14	P05_U05_A048_S014	udyogaparva	transfer — tense/mood (lakāra)	lakāra-vyatyaya	auto	lakAra,vyatyaya			
NIL-068	MBh 5.48.99	P05_U05_A048_S099	udyogaparva	compound — member order	pūrva-nipāta	auto	pUrva,nipAta	1.1.14;1.1.65;6.1.107;6.1.135;6.2.83;8.2.98	word	nipAta ekAjanAN | alo'ntyAt pUrva upaDA | ami pUrvaH | suw kAt pUrvaH | antyAt pUrvaM bahvacaH
NIL-069	MBh 5.77.13	P05_U06_A077_S013	udyogaparva	transfer — gender	liṅga-vyatyaya	auto	liNga,vyatyaya	2.3.46;2.4.26;3.1.46;4.1.170	substring	prAtipadikArTaliNgaparimARavacanamAtre praTamA | paravalliNgaM dvandvatatpuruzayoH | Sliza AliNgane | dvyaYmagaDakaliNgasUramasAdaR
NIL-070	MBh 5.141.47	P05_U06_A141_S047	udyogaparva	upapada government	upapada-yoga	auto	upapada,yoga	1.1.7;1.2.55;1.3.63;2.2.19;3.4.4;3.4.27;3.4.46;6.4.10;6.4.82;6.4.106	substring	halo'nantarAH saMyogaH | yogapramARe ca tadaBAve'darSanaM syAt | Ampratyayavat kfYo'nuprayogasya | upapadamatiN | yaTAviDyanuprayogaH pUrvasmin
NIL-071	MBh 5.144.13	P05_U06_A144_S013	udyogaparva	voice — ātmanepada for parasmaipada	taṅ-bhāva	auto	taN	1.3.12;1.4.100;5.4.7;6.3.133;7.1.35	substring	anudAttaNita Atmanepadam | taNAnAvAtmanepadam | azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH | fci tunuGamakzutaNkutroruzyARAm | tuhyostAtaNNASizyanyatarasyAm
NIL-072	MBh 5.160.116	P05_U08_A160_S116	udyogaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-073	MBh 5.175.2	P05_U10_A175_S002	udyogaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-074	MBh 6.3.34	P06_U01_A003_S034	bhishmaparva	elision — case ending	vibhakti-lopa	auto	viBakti,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.3.1;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | prAgdiSo viBaktiH
NIL-075	MBh 6.29.27	P06_U03_A029_S027	bhishmaparva	elision — visarga	visarga-lopa	auto	visarga,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-076	MBh 6.32.3	P06_U03_A032_S003	bhishmaparva	absence of the u-substitution	utva-abhāva	auto	utva	4.2.32	substring	dyAvApfTivISunAsIramarutvadagnIzomavAstozpatigfhameDAcCa ca
NIL-077	MBh 6.35.8	P06_U03_A035_S008	bhishmaparva	transfer — stem-class (vikaraṇa)	pada-vikaraṇa-vyatyaya	auto	pada,vikaraRa,vyatyaya	3.1.60	word	ciR te padaH
NIL-078	MBh 6.35.48	P06_U03_A035_S048	bhishmaparva	absence of ru-substitution	ru-tva-abhāva	auto	ru,tva	3.2.159;8.2.66;8.3.1	word	dADewsiSadasado ruH | sasajuzo ruH | matuvaso ru sambudDO Candasi
NIL-079	MBh 6.42.55	P06_U03_A042_S055	bhishmaparva	elision	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-080	MBh 6.43.26	P06_U04_A043_S026	bhishmaparva	absence of an expected elision	lopa-abhāva	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-081	MBh 6.43.32	P06_U04_A043_S032	bhishmaparva	absence of compounding	asamāsa	auto	asamAsa			
NIL-082	MBh 6.44.28	P06_U04_A044_S028	bhishmaparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-083	MBh 6.110.41	P06_U04_A110_S041	bhishmaparva	aṭ augment	aḍ-āgama	auto	aq,Agama	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-084	MBh 7.67.13	P07_U03_A067_S013	dronaparva	elision — segment/affix	lopa	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-085	MBh 7.175.32	P07_U06_A175_S032	dronaparva	compound-final / ṭac suffix	samāsānta	auto	samAsAnta			
NIL-086	MBh 7.188.52	P07_U07_A188_S052	dronaparva	gender — neuter	klībatva	auto	klIbatva			
NIL-087	MBh 7.201.77	P07_U08_A201_S077	dronaparva	case ending — luk / ḍa-substitution	supāṃ suluk	auto	supAM,suluk	7.1.39	phrase	supAM sulukpUrvasavarRA''cCeyAqAqyAyAjAlaH
NIL-088	MBh 8.3.21	P08_U01_A003_S021	karnaparva	absolutive suffix	ktvā	auto	ktvA	1.2.7;1.2.18;1.2.22;2.2.22;3.4.18	word	mfqamfdaguDakuzakliSavadavasaH ktvA | na ktvA sew | pUNaH ktvA ca | ktvA ca | alaNKalvoH pratizeDayoH prAcAM ktvA
