row_id	source	work	locus	locus_id	parva	commentator	term_family	defense_term	deviation_type	deviation_term_sa	classification	agreement_n	agreement_commentators	quote
NIL-019	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.167.31	P01_U11_A167_S031	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	येन पुत्रं लभेयं तत्कर्म कुरु । याज्यार्थं द्रुपदस्येष्टसाधनं यागम् उपकल्पयत् मनसा तत्प्रयोगं स्मृतवान् । अडभाव आर्षः ॥३१॥
NIL-020	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 2.46.13	P02_U09_A046_S013	sabhaparva	nīlakaṇṭhaḥ	ārṣa	आर्षे	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	कपालिं कपालिनम् । सुपां सुलुगिति आर्षे द्वितीयालोपे सति परमे व्योमन्नित्यादिवत् प्रातिपदिकमात्रं शिष्यते । विभक्तेः स्थानिवत्त्वान्नलोपाभावः तस्य चापदां तस्थत्वादनुस्वारोपि भवतीति । मत्वर्थीयं प्रत्ययान्तरं
NIL-021	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 2.49.26	P02_U09_A049_S026	sabhaparva	nīlakaṇṭhaḥ	ārṣa	आर्षं	gender — masculine	puṃstva	auto	1	nīlakaṇṭhaḥ	ु अस्मै कांस्यं कांस्यपात्रस्थं कृत्वा आहार्षीत् । अर्थात्सोम एव तथा वारुणं वरुणप्रेषितं दधि प्रसिद्धम् । कलश इव कलशो जलपूर्णत्वात्समुद्रः आहार्षीत् । दधिरिति पुंस्त्वम् आर्षं लेखकप्रमादो वा । अन्ये तु कलशोदधिः समुद्रः मधु अमृतं जलमित्यन्ये अमरस्त्रियो नद्यः वारुणं वरुणसंबन्धीति व्याचक्षते ॥२६॥
NIL-022	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 2.65.34	P02_U09_A065_S034	sabhaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसस्तृतीयाया	elision	lopa	auto	1	nīlakaṇṭhaḥ	शारदोत्पलसेविन्याः लक्ष्म्याः रूपेण समानया । श्रिया लावण्यसौभाग्यादिरूपया च समानया। श्रीति भिन्नं पदं छान्दसस्तृतीयाया लुक्पूर्वसवर्णो वा ॥३४॥
NIL-023	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 2.69.10	P02_U09_A069_S010	sabhaparva	nīlakaṇṭhaḥ	ārṣa	आर्षस्तद्धितलुक्	elision — taddhita suffix	taddhita-luk	auto	1	nīlakaṇṭhaḥ	पाण्डूनां पाण्डवानाम् । आर्षस्तद्धितलुक्। पार्षतस्य धृष्टद्युम्नस्य । कथम् इयां प्राप्नुयाम् ॥१०॥
NIL-024	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 2.81.28	P02_U10_A081_S028	sabhaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अनुज्ञासिषम् अनुज्ञातवान् । अडभाव आर्षः पाठान्तरे तु सुगमम् ॥२८॥
NIL-025	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.17.16	P03_U03_A017_S016	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — visarga	visarga-lopa	auto	1	nīlakaṇṭhaḥ	आपततेति विसर्गलोप आर्षः ॥१६॥
NIL-026	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.45.8	P03_U05_A045_S008	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — case ending	vibhakti-lopa	auto	1	nīlakaṇṭhaḥ	वर्चः शरीरे विद्यैश्वर्यादिजं तेजः तद्वान् वर्चस्वी । तेजः शौर्यं तेन युक्तः । चतुराख्यानपञ्चमान् चतुः चतुःसंख्यान् विभक्तिलोप आर्षः । आख्यानं भारतादि । चतुरप्रियम् आख्यानं चतुराख्यानमिति मध्यमपदलोपेन वा शाकपार्थिवादिवत्समासः ॥८॥
NIL-027	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.59.3	P03_U06_A059_S003	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	sandhi	sandhi	auto	1	nīlakaṇṭhaḥ	अन्वास्त उपासितवान् । सोस्ते स्मेति पाठे स उपास्ते स्मेत्यर्थः आर्षः संधिः ॥३॥
NIL-028	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.64.114	P03_U06_A064_S114	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — reduplication syllable	abhyāsa-lopa	auto	1	nīlakaṇṭhaḥ	उपसर्प उपससर्प अभ्यासलोप आर्षः वरारोहा विस्तीर्णजघना ॥११४॥
NIL-029	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.68.14	P03_U06_A068_S014	vanaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसं	feminine ṭāp ending	ṭāb-antatva	auto	1	nīlakaṇṭhaḥ	शुष्कस्रोतां शुष्कप्रवाहाम्। छान्दसं टाबन्तत्वम् ॥१४॥
NIL-030	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.68.34	P03_U06_A068_S034	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the causative ṇic	ṇij-abhāva	auto	1	nīlakaṇṭhaḥ	वेद विचारय वेदयतेरिदं रूपं णिजभाव आर्षः ॥३४॥
NIL-031	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.99.60	P03_U07_A099_S060	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षं	ru-substitution	rutva	auto	1	nīlakaṇṭhaḥ	चेतोमन्ति चेतनावन्ति । आर्षं पदत्वप्रयुक्तं रुत्वम् । चेतस्वन्तीत्यपेक्षितम् ॥६०॥
NIL-032	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.103.14	P03_U07_A103_S014	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अभिष्टुवन् अस्तुवन् । अडभाव आर्षः ॥१४॥
NIL-033	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.110.3	P03_U07_A110_S003	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	वाताबद्धा वातेनाबद्धाः मेघाः उपलाश्च भवन् । वातं विनैव सहसा मेघाः शिलाश्च प्रयुज्यन्ते इत्यर्थः। भवन्नित्यडभाव आर्षः । वाचा यत्र भवन्निति पाठे शब्दोच्चारणेनैव यत्र मेधा उपलाश्च हे भवन् भासमान आविर्भवन्तीति शेषः ॥३॥
NIL-034	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.115.37	P03_U07_A115_S037	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	sandhi	sandhi	auto	1	nīlakaṇṭhaḥ	ते उभे प्रति इत्युक्त्वेतीकारलोपः सन्धिर्वा आर्षः । आलिङ्गने अश्वत्थोदुम्बरयोः ॥३७॥
NIL-035	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.134.6	P03_U07_A134_S006	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	बन्दिं बन्दिनम् । विभक्त्यलोपे नकारलोप आर्षः ॥६॥
NIL-036	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.142.10	P03_U07_A142_S010	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/syllable	varṇa-lopa	auto	1	nīlakaṇṭhaḥ	वादत वादयत । अक्षरलोप आर्षः ॥१०॥
NIL-037	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.160.68	P03_U09_A160_S068	vanaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसं	bha-stem treatment	bhatva	auto	1	nīlakaṇṭhaḥ	अयस्मयीं छान्दसं ’भत्वम्’ अयोमयीम् ॥६८॥
NIL-038	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.168.43	P03_U10_A168_S043	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of expected lengthening	dairghya-abhāva	auto	1	nīlakaṇṭhaḥ	सुरर्षिणामिति दैर्ध्याभाव आर्षः । समाहारबहुत्वं वा बहुसमुदायाभिप्रायेण ॥४३॥
NIL-039	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.175.4	P03_U10_A175_S004	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षो	case ending — (a)luk	aluk / luk	auto	1	nīlakaṇṭhaḥ	ादौ चक्रे । अक्षः तयोः सन्धानदारु । शुभाः वेणव इव वेणवो यस्मिन् तत् शुभवेणु । त्रिवेणु - अक्षकूबरयोः सन्धानार्थं त्रिशिखं दारु तद्वन्तम् । 'सुपां सुलुक्-' इति द्वितीयाया आर्षो लुक्। रथपदे वा क्लीबत्वं ध्येयम् ॥४॥
NIL-040	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.209.50	P03_U12_A209_S050	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	transfer — tense/mood (lakāra)	lakāra-vyatyaya	auto	1	nīlakaṇṭhaḥ	हतेच्छत्वं धर्मस्येति चित्तशुद्ध्या भोगेच्छायां क्षीणायां स्वर्गेऽपि वैराग्यं जायते इत्यर्थः । अतृप्यमाणः प्रीतिमलभमानः। निर्वेदं वैराग्यम् । आपेदे आप्नोति । लकारव्यत्यय आर्षः । दोषं रागद्वेषादिकं नानुरुध्यते तद्वशो न भवतीत्यर्थः ॥५०॥
NIL-041	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.216.1	P03_U12_A216_S001	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	एवमिति । अभिप्रसादयमडभाव आर्षः ॥१॥
NIL-042	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.217.7	P03_U12_A217_S007	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	अङ्गिराऽभवत् सन्धिरडभावो वा आर्षः ॥७॥
NIL-043	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.218.7	P03_U12_A218_S007	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	final-segment substitution	antādeśa	auto	1	nīlakaṇṭhaḥ	े दृश्यते । पौर्णमास्यां तु क्षीयमाणः । अतो दीप्तिमत्सु दिनेषु एषा महामतीत्युच्यते । यतोऽत्र महत् महस्वान् वा अन्तर्हितो विद्यतेऽस्यामिति योगात् । पूर्वपदस्याकारोन्तादेश आर्षः ॥७॥
NIL-044	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.222.6	P03_U12_A222_S006	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	अध्यात्मं महतः पुत्रोऽहङ्कारः । भरति बिभर्तीति मृतानि अचेतनानि खादीनि देहाकाराणि धारयतीति भरतो नाम । तस्यैव भूतसंहारस्थानत्वं दहन्निति दार्शतम् । भरस्य भरतस्य । तकारलोप आर्षः । क्रतुर्नाम अध्यात्मम् ऋतुः संकल्पात्मकं मनः। अग्निष्टोमशब्देन 'तस्यैवं विदुषो यज्ञस्यात्मा यजमानः श्रद्धा पत्नी शरीरमिध्ममुरो वेदिर्लोमानि बर्हिः' इत्यादिना तैत्तिरीय
NIL-045	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.236.16	P03_U14_A236_S016	vanaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसो	tense — laṭ	laṭ	auto	1	nīlakaṇṭhaḥ	अन्यैः अन्येभ्योऽधिकः प्रतीक्षतीत्यप्युपपदाभावेऽपि छान्दसो गर्हायां लट् ॥१६॥
NIL-046	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.254.8	P03_U14_A254_S008	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision	lopa	auto	1	nīlakaṇṭhaḥ	निवेश्य विषयेऽऽत्मनः आत्मनो गोचरे कृत्वेत्यर्थः । आकारपूर्वरूपं लोपो वा आर्षः ॥८॥
NIL-047	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.254.9	P03_U14_A254_S009	vanaparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	निर्जयत् जितवान् । अडभाव आर्षः ॥९॥
NIL-048	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 3.314.5	P03_U22_A314_S005	vanaparva	nīlakaṇṭhaḥ	chāndasa	छान्दसमदन्तत्वम्	stem-final vowel (a-stem)	adantatva	auto	1	nīlakaṇṭhaḥ	सुहृदः सुहृत् । छान्दसमदन्तत्वम् ॥५॥
NIL-049	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.7.12	P04_U01_A007_S012	virataparva	nīlakaṇṭhaḥ	chāndasa	छान्दस	absence of ārdhadhātuka status	ārdhadhātukatva-abhāva	auto	1	nīlakaṇṭhaḥ	युधिष्ठिरस्येति लोके । पक्षे युधिष्ठिरोऽहं तव सखा स्यासं भूयासमिति सम्बन्धः । अस्तेराशीर्लिङि छान्दस आर्द्धधातुकत्वाभावः । तेन भूभावः श्नसोरित्यल्लोपाभावश्च न भवतः सलोपाभावोऽपि छान्दसः । युधिष्ठिरः स्यामहमहं सखेति पाठेऽपि युधिष्ठिरोऽहं मम सखा स्याः भव इति सम्बन्धः । हमि
NIL-050	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 4.7.12	P04_U01_A007_S012	virataparva	nīlakaṇṭhaḥ	chāndasa	छान्दसः	absence of an expected elision	lopa-abhāva	auto	1	nīlakaṇṭhaḥ	िरस्येति लोके । पक्षे युधिष्ठिरोऽहं तव सखा स्यासं भूयासमिति सम्बन्धः । अस्तेराशीर्लिङि छान्दस आर्द्धधातुकत्वाभावः । तेन भूभावः श्नसोरित्यल्लोपाभावश्च न भवतः सलोपाभावोऽपि छान्दसः । युधिष्ठिरः स्यामहमहं सखेति पाठेऽपि युधिष्ठिरोऽहं मम सखा स्याः भव इति सम्बन्धः । हमिति तु पादपूरणार्थो निपातः । पक्षे अहमहमिति द्विरुक्तिः सार्वभौमोऽपरसेवां चिकीर्षामी
