locus	commentator	defense_term	term_family	deviation_type	quote_window
BhG 11.37	viśvanāthaḥ	ārṣam	ārṣa	voice (ātmanepada for parasmaipada)	yac-chabdāt prāk-ca-kāram api kecit paṭhanti | etair hetubhis tvāṃ sarve namasyantīti na kim api citram ity arthaḥ ||37|| viśvanāthaḥ : te kasmān na nameran, api tu namerann eva | ātmanepadam ārṣam | sat-kāryam asat-kāraṇaṃ ca tābhyāṃ paraṃ yad akṣaraṃ brahma tat tvam ||37|| baladevaḥ : atha bhagavataḥ
BhG 11.37	baladevaḥ	chāndasam	chāndasa	voice (ātmanepada for parasmaipada)	smāc ceti caturbhiḥ | he mahātman udāra-mate ! he ananta sarva-vyāpin ! he deveśa sarva-deva-niyantaḥ ! he jagannivāsa sarvāśraya ! te siddha-saṅghās te tubhyaṃ kasmād dhetor na nameran ? ātmanepadaṃ chāndasam | api tu praṇameyur eva te | kīdṛśāyety āha | brahmaṇo 'py garīyase gurutarāya yasmād ādi-kartre tattva-sṛṣṭi-
BhG 11.41	śrīdharaḥ	ārṣam	ārṣa	sandhi	aṃ kṣamāpayati sakhetīti dvyābhyām | tvaṃ prākṛteḥ sakhety evaṃ matvā prasabhaṃ haṭhāt tiraskāreṇa yad uktaṃ tat kṣāmaye tvām ity uttareṇānvayaḥ | kiṃ tat ? he kṛṣṇa he yādava he sakheti ca | sandhir ārṣam | prasabhoktau hetuḥ - tava mahimānaṃ idaṃ ca viśva-rūpam ajānatā ca mayā pramādāt praṇayena snehena yad uktam iti
BhG 11.41	viśvanāthaḥ	ārṣaḥ	ārṣa	sandhi	| tvaṃ vasudeva-nāmno narasyārdharathatvenāpy aprasiddhasya putraḥ kṛṣṇa iti prasiddhaḥ | he yādaveti | yadu-vaṃśasya tava nāsti rājatvaṃ, mama tu puru-vaṃśasyāsty eva rājatvam | he sakheti | sandhir ārṣaḥ | tad api tvayā saha mama yat sakhyaṃ tatra tava paitrika-prabhāvo na hetuḥ | nāpi kaulikaḥ | kintu tāvaka evety a
BhG 11.41	baladevaḥ	chāndasaḥ	chāndasa	sandhi	nubhavatā mayā pramādād anavadhānataḥ praṇayena sakhya-premṇā vā yat tvāṃ prati prasabhaṃ haṭhād uktam | tad idānīṃ kṣāmaye kṣamayāmi | kiṃ tad iti cet tatrāha he kṛṣṇety ādi | sakhetīty atra sandhiś chāndasaḥ | etāni trīṇi sambodhanāny anādara-garbhāṇi he kṛṣṇety atra śrī-pūrvakatvābhāvāt | he yādavety atra rājya-vaṃś
BhG 11.44	madhusūdanaḥ	chāndasaḥ	chāndasa	sandhi	! piteva putrasyāparādhaṃ sakheva sakhyur aparādhaṃ priyaḥ priyāyāḥ pativratāyā aparādhaṃ mamāparādhaṃ tvaṃ soḍhum kṣantum arhasi ananya-śaraṇatvān mama | priyāyārhasīty atreva-śabda-lopaḥ sandhiś ca chāndasaḥ ||44|| viśvanāthaḥ : kāyaṃ praṇidhāya bhūmau daṇḍavan nipātya priyāyārhasīti sandhir ārṣaḥ ||44||
BhG 11.44	viśvanāthaḥ	ārṣaḥ	ārṣa	sandhi	tvaṃ soḍhum kṣantum arhasi ananya-śaraṇatvān mama | priyāyārhasīty atreva-śabda-lopaḥ sandhiś ca chāndasaḥ ||44|| viśvanāthaḥ : kāyaṃ praṇidhāya bhūmau daṇḍavan nipātya priyāyārhasīti sandhir ārṣaḥ ||44|| baladevaḥ : yasmād evaṃ tasmād iti | kāyaṃ bhūmau praṇidhāya praṇamyeti sāṣṭāṅgaṃ praṇatiṃ kṛtvā |
BhG 11.48	madhusūdanaḥ	chāndasaḥ	chāndasa	visarga elision	a-cāndrāyaṇādibhir ugraiḥ kāyendriya-śoṣakatvena duṣkarair evaṃ-rūpo 'haṃ na śakyo nṛ-loke manuṣya-loke draṣṭuṃ tvad-anyena mad-anugraha-hīnena he kuru-pravīra ! śakyo 'ham iti vaktavye visarga-lopaś chāndasaḥ | pratyekaṃ na-kārābhyāso niṣedha-dāḍhyāya | na ca kriyābhir ity atra ca-kārād anukta-sādhanāntara-samuccayaḥ
BhG 11.48	viśvanāthaḥ	ārṣau	ārṣa	unclassified	||48|| viśvanāthaḥ : tubhyaṃ darśitam idaṃ rūpaṃ tu vedādi-sādhanair api durlabham ity āha na vedeti | tvatto 'nyena na kenāpy aham evaṃrūpo draṣṭuṃ śakyaḥ | śakyo 'ham iti | yad-dvaya-lopāv ārṣau | tasmād alabhya-lābham ātmano matvā tvam asminn eveśvare, sarva-durlabhe rūpe mano-niṣṭhāṃ kuru | etad-rūpaṃ dṛṣṭ
BhG 11.48	baladevaḥ	chāndasaḥ	chāndasa	visarga elision	eto vidyā vā tapasānvitā | mad-bhaktyāpetam ātmānaṃ na samyak prapunāti hi || iti | tvayā tu bhaktimatā dṛṣṭa evāham anyaiś ca bhaktimadbhir devādibhiḥ | śakyo 'ham iti vaktavye visarga-lopaś chāndasaḥ | na-kārābhyāso niṣedhāḍhyārthaḥ | nṛ-loke ity uktes tal-loke tad-bhaktā devā bahavas tad draṣṭuṃ śaknuvantīty
BhG 12.8	baladevaḥ	chāndasam	chāndasa	unclassified	mana ādhatsva mat-smaraṇaṃ kurv ity arthaḥ | tathā buddhiṃ vivekavatīṃ niveśaya man-mananaṃ kurv ity arthaḥ | tac ca mananaṃ dhyāna-pratipādaka-śāstra-vākyānuśīlanam | tataś ca mayy eva nivasiṣyasīti chāndasam | mat-samīpa eva nivāsaṃ prāpnoṣīty arthaḥ ||8|| baladevaḥ -- yasmād evaṃ tasmāt tvaṃ mayy eva na tu s
BhG 13.12	śrīdharaḥ	chāndasaḥ	chāndasa	suffix (matup)	d vakṣyamāṇaṃ jñātvāmṛtaṃ mokṣaṃ prāpnoti | kiṃ tat anādimat | ādiman na bhavati iti anādimat | paraṃ niratiśayaṃ brahma | anādi ity etāvataiva bahuvrīhiṇānādimattve siddhe 'pi punar matupaḥ prayogaś chāndasaḥ | yad vā anādīti mat-param iti ca pada-dvayam | mam viṣṇoḥ paraṃ nirviśeṣaṃ rūpaṃ brahmety arthaḥ | tad evāha
BhG 14.22	viśvanāthaḥ	ārṣam	ārṣa	gender (neuter)	hāyathaṃ sampravṛttāni svataḥ-prāptāni duḥkha-buddhyā yo na dveṣṭi | guṇa-kāryāṇy etāni nivṛttāni ca sukha-buddhyā yo na kāṅkṣati, sa guṇātīta ucyate iti caturthenānvayaḥ | sampravṛttānīti klīb-antam ārṣam ||22|| baladevaḥ : yadyapi sthita-prajñasya kā bhāṣā ity ādinā pṛṣṭam idaṃ prajahāti yadā kāmān ity ādinot
BhG 14.23	śrīdharaḥ	ārṣam	ārṣa	voice (parasmaipada for ātmanepada)	air guṇa-kāryaiḥ sukha-duḥkhādibhir na yo vicālyate svarūpān na pracyavate api tu guṇā eva svakāryeṣu vartante | etair mama sambandha eva nāstīti viveka-jñānena yas tuṣṇīm avatiṣṭhati | parasmaipadam ārṣam | neṅgate na calati ||23|| madhusūdanaḥ : evaṃ lakṣ HERE viśvanāthaḥ : kim ācāraḥ iti dvitīya-praś
BhG 14.23	viśvanāthaḥ	ārṣam	ārṣa	voice (parasmaipada for ātmanepada)	ḥ sukha-duḥkhādibhir yo na vicālyate svarūpāvasthān na cyavate, api tu guṇa eva sva-sva-kāryeṣu vartanta ity eveti ebhir mama sambandha eva nāstīti viveka-jñānena yas tūṣṇīm avatiṣṭhati parasmaipadam ārṣam | neṅgate na kvāpi daihika-kṛtye yatate | guṇātītaḥ sa ucyate iti guṇātītasya etāni cihnāni etān ācārāṃś ca dṛṣṭva
BhG 16.1	śrīdharaḥ	ārṣaḥ	ārṣa	elision (lopa)	citte kṣobhānutpattiḥ | tyāga audāryam | śāntiś cittoparatiḥ | paiśunaṃ parokṣe para-doṣa-prakāśanam | tad-varjanam apaiśunam | bhūteṣu dīneṣu dayā | alolupatam alolupatvaṃ lobhābhāvaḥ | avarṇa-lopa ārṣaḥ | mārdavaṃ mṛdutvam akrūratā | hrīr akārya-pravṛttau loka-lajjā | acāpalaṃ vyartha-kriyā-rāhityam ||2|| ki
BhG 16.1	baladevaḥ	chāndasaḥ	chāndasa	elision (lopa)	kopasya nirodhaḥ | tyāgo durukter api tatrāprakāśaḥ | śāntir manasaḥ saṃyamaḥ | apaiśunaṃ parokṣe parānartha-kāri-vākyāprakāśanam | bhūteṣu dayā tad-duḥkhāsahiṣṇutā | aloluptvaṃ nirlobhatā | pa-lopaś chāndasaḥ | mārdavaṃ komalatvam sat-pātra-saṅga-vicchedāsahanam | hrīr vikarmaṇi lajjā | acāpalaṃ vyartha-kriyā-viraha i
